序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
4944,300920,润阳科技,20.33,-3.1,-0.65,18148.0,37527690.56,4.81,21.29,20.28,21.05,20.98,1.34,3.64,78.34,1.76,2033000000.0,1012929381.0,0.0,0.1,7.06,30.91
4945,688701,卓锦股份,9.07,-3.1,-0.29,18331.0,16951369.0,4.38,9.46,9.05,9.4,9.36,1.38,2.72,-15.73,3.54,1217895764.0,610481338.0,0.22,0.0,-2.37,10.48
4946,301227,森鹰窗业,28.45,-3.1,-0.91,5298.0,15285086.0,3.41,29.44,28.44,29.36,29.36,0.7,1.58,16.78,1.49,2697060000.0,956617025.0,-0.21,-0.28,-9.05,-4.37
4947,603610,麒盛科技,11.88,-3.1,-0.38,28784.0,34640683.0,4.08,12.35,11.85,12.35,12.26,1.37,0.8,17.12,1.31,4258852302.0,4258852302.0,0.08,0.08,-3.34,-1.41
4948,605189,富春染织,16.24,-3.1,-0.52,11499.0,18800196.0,3.64,16.77,16.16,16.77,16.76,1.32,2.3,25.43,1.45,2432151851.0,810750251.0,-0.37,-0.55,2.72,6.98
4949,300992,泰福泵业,20.92,-3.1,-0.67,13363.0,28418795.0,4.63,21.85,20.85,21.78,21.59,1.27,3.07,37.23,2.48,1899538489.0,911018804.0,-0.05,0.05,2.2,17.0
4950,301215,中汽股份,6.55,-3.11,-0.21,286173.0,189186876.44,3.55,6.76,6.52,6.75,6.76,0.63,3.73,52.82,3.12,8661720000.0,5026470000.0,0.0,0.15,9.53,27.93
4951,002337,赛象科技,5.61,-3.11,-0.18,147237.0,83564975.88,3.97,5.83,5.6,5.78,5.79,1.95,2.5,41.43,2.68,3302134358.0,3298660545.0,-0.18,0.0,1.63,25.5
4952,000753,漳州发展,4.36,-3.11,-0.14,181530.0,80077766.0,3.78,4.51,4.34,4.48,4.5,1.5,1.83,68.47,1.63,4322857470.0,4322857470.0,0.0,-0.23,-5.22,9.82
4953,002596,海南瑞泽,2.8,-3.11,-0.09,190349.0,54234015.59,4.15,2.92,2.8,2.88,2.89,1.21,1.81,-23.17,2.3,3213225450.0,2950055550.0,-0.36,0.0,-0.36,-17.65
4954,000625,长安汽车,18.34,-3.12,-0.59,3333416.0,6171582477.11,4.33,19.12,18.3,18.72,18.93,0.85,4.08,13.8,2.59,181883080865.0,149716671948.0,0.0,0.05,42.28,51.95
4955,002234,民和股份,13.36,-3.12,-0.43,132804.0,179327521.07,3.55,13.84,13.35,13.7,13.79,1.25,4.38,-29.62,1.82,4662108432.0,4053763197.0,-0.22,-0.07,-9.12,-30.92
